Date,Ticker,Index_Source,Stock_Price,ATM_Strike,Implied_Volatility,1W_Call_Price,1W_Put_Price,1W_Call_Delta,1W_Put_Delta,1W_Gamma,1W_Call_Theta,1W_Put_Theta,1W_Vega,1W_Call_Rho,1W_Put_Rho,2W_Call_Price,2W_Put_Price,2W_Call_Delta,2W_Put_Delta,2W_Gamma,2W_Call_Theta,2W_Put_Theta,2W_Vega,2W_Call_Rho,2W_Put_Rho,3W_Call_Price,3W_Put_Price,3W_Call_Delta,3W_Put_Delta,3W_Gamma,3W_Call_Theta,3W_Put_Theta,3W_Vega,3W_Call_Rho,3W_Put_Rho
8/19/2026 19:52,ALNY,Nasdaq 100,242.61,240,0.501,4.65,3,0.581,-0.419,0.0232,-0.4879,-0.4551,0.1313,0.0255,-0.0205,4.65,3,0.571,-0.429,0.0165,-0.3512,-0.3184,0.1865,0.0489,-0.043,13.92,16.1,0.5689,-0.4311,0.0134,-0.292,-0.2593,0.2287,0.0717,-0.066
8/19/2026 19:52,AMAT,Nasdaq 100 / S&P 500,496.17,500,0.5467,15.75,20.25,0.4796,-0.5204,0.0106,-1.0998,-1.0314,0.2738,0.0431,-0.0527,21.97,28.2,0.501,-0.499,0.0073,-0.8095,-0.7411,0.3877,0.0875,-0.1039,25.74,32.45,0.5119,-0.4881,0.0061,-0.6544,-0.5861,0.4746,0.1317,-0.1551
8/19/2026 19:52,AMD,Nasdaq 100 / S&P 500,466.42,470,0.5006,12,14.9,0.4754,-0.5246,0.0123,-0.9485,-0.8842,0.2572,0.0403,-0.0497,20,22.1,0.501,-0.499,0.0078,-0.7569,-0.6926,0.3644,0.0823,-0.0976,24.18,25.1,0.5108,-0.4892,0.0067,-0.5983,-0.5341,0.4462,0.1239,-0.1457
8/19/2026 19:52,AMGN,Dow 30 / Nasdaq 100 / S&P 500,442.36,440,0.3269,8.85,6.95,0.5643,-0.4357,0.0197,-0.5961,-0.5359,0.2412,0.0461,-0.0382,11.04,13.75,0.557,-0.443,0.0136,-0.4416,-0.3815,0.3421,0.0894,-0.079,12.35,6.5,0.5579,-0.4421,0.0116,-0.3508,-0.2907,0.4188,0.1331,-0.1193
8/19/2026 19:52,AMT,S&P 500,174.49,175,0.2759,1.05,2.85,0.4872,-0.5128,0.0598,-0.2012,-0.1772,0.0964,0.0158,-0.0177,1.05,2.85,0.5034,-0.4966,0.0423,-0.1459,-0.1219,0.1363,0.0323,-0.0347,5.29,5.3,0.5135,-0.4865,0.0331,-0.1261,-0.1022,0.1669,0.0488,-0.0516
8/19/2026 19:52,AMZN,Dow 30 / Nasdaq 100 / S&P 500,265.84,270,0.2781,2.44,6.75,0.3598,-0.6402,0.0365,-0.2863,-0.2493,0.1377,0.0179,-0.0339,4.9,8.61,0.4193,-0.5807,0.0252,-0.2314,-0.1945,0.2034,0.041,-0.0624,6.04,9.55,0.4433,-0.5567,0.0209,-0.1928,-0.1559,0.2518,0.0643,-0.0906
8/19/2026 19:52,APP,Nasdaq 100,310.79,310,0.5466,12.3,10.13,0.5335,-0.4665,0.0169,-0.6894,-0.647,0.1711,0.0299,-0.0295,16.8,13.02,0.5379,-0.4621,0.012,-0.4897,-0.4473,0.2417,0.0588,-0.0599,18,15.3,0.5422,-0.4578,0.0102,-0.3892,-0.3469,0.2957,0.0875,-0.0903
8/19/2026 19:52,ARM,Nasdaq 100,249.34,250,0.6843,11.03,10.67,0.5118,-0.4882,0.0169,-0.6893,-0.6551,0.1377,0.0227,-0.0252,14.65,14.15,0.5253,-0.4747,0.0116,-0.5028,-0.4686,0.1944,0.045,-0.0507,17,16.58,0.5329,-0.4671,0.0098,-0.3994,-0.3653,0.2378,0.0672,-0.0763
8/19/2026 19:52,ASML,Nasdaq 100,1751.73,1750,0.4518,50,44,0.5249,-0.4751,0.0036,-3.2372,-2.9977,0.9659,0.1676,-0.1677,94.33,57.5,0.531,-0.469,0.0024,-2.4445,-2.2052,1.3645,0.3308,-0.3392,104.6,33.28,0.5359,-0.4641,0.0021,-1.9346,-1.6956,1.6695,0.4941,-0.5098
8/19/2026 19:52,AVGO,Nasdaq 100 / S&P 500,362.48,360,0.4363,22.8,5.19,0.5634,-0.4366,0.018,-0.6428,-0.5935,0.1977,0.0372,-0.0318,18.87,16,0.5534,-0.4466,0.0097,-0.6017,-0.5525,0.2807,0.0701,-0.0677,19.99,16.7,0.5558,-0.4442,0.0087,-0.4514,-0.4022,0.3435,0.1045,-0.102
8/19/2026 19:52,AXON,Nasdaq 100,645.72,650,0.5783,24.13,92.02,0.4878,-0.5122,0.0077,-1.5135,-1.4246,0.3566,0.0568,-0.0678,24.65,72.46,0.504,-0.496,0.0057,-1.0297,-0.9409,0.5045,0.1148,-0.1341,26.75,75,0.5149,-0.4851,0.0047,-0.8469,-0.7581,0.6175,0.1725,-0.2004
8/19/2026 19:52,AXP,Dow 30 / S&P 500,339.9,340,0.2472,5.16,4.95,0.5146,-0.4854,0.0343,-0.3547,-0.3081,0.1877,0.0326,-0.0325,9.52,5.45,0.5229,-0.4771,0.0235,-0.2644,-0.2179,0.2651,0.0655,-0.0647,11.2,5.3,0.5291,-0.4709,0.0193,-0.2189,-0.1725,0.3244,0.0985,-0.0966
8/19/2026 19:52,BA,Dow 30 / S&P 500,222.2,220,0.3058,4.87,3,0.6098,-0.3902,0.0408,-0.2758,-0.2457,0.1181,0.025,-0.0171,6.68,4.4,0.5884,-0.4116,0.0284,-0.2071,-0.1771,0.1693,0.0475,-0.0367,7.1,5.05,0.5824,-0.4176,0.0233,-0.1721,-0.142,0.2081,0.0698,-0.0564
8/19/2026 19:52,BAC,S&P 500,63.17,65,0.1939,0.2,2.09,0.1551,-0.8449,0.1406,-0.0302,-0.0213,0.0209,0.0019,-0.0106,0.32,2.3,0.2491,-0.7509,0.1313,-0.0295,-0.0206,0.0392,0.0059,-0.019,0.46,2.16,0.2887,-0.7113,0.122,-0.0252,-0.0163,0.0518,0.0102,-0.0271
8/19/2026 19:52,BKNG,Nasdaq 100 / S&P 500,213,210,0.5665,7.3,2.25,0.5918,-0.4082,0.0232,-0.4797,-0.4509,0.1145,0.0226,-0.0177,6.2,4.1,0.5877,-0.4123,0.0199,-0.2872,-0.2585,0.1624,0.0444,-0.036,6.9,4.5,0.5868,-0.4132,0.0181,-0.2155,-0.1868,0.199,0.0659,-0.0546
8/19/2026 19:52,BKR,Nasdaq 100,64.48,65,0.3565,0.32,1.05,0.4528,-0.5472,0.1245,-0.0939,-0.085,0.0354,0.0054,-0.0071,0.32,1.05,0.479,-0.521,0.0885,-0.0681,-0.0592,0.0503,0.0112,-0.0137,2.2,2.2,0.4901,-0.5099,0.0775,-0.0529,-0.044,0.0617,0.0171,-0.0202
8/19/2026 19:52,BLK,S&P 500,1158.92,1160,0.2748,20,16.54,0.5079,-0.4921,0.009,-1.3345,-1.1758,0.6401,0.1095,-0.1127,32.2,27.14,0.5179,-0.4821,0.0066,-0.9409,-0.7823,0.9046,0.2208,-0.2233,41.4,23.35,0.5249,-0.4751,0.0058,-0.7357,-0.5772,1.1068,0.3335,-0.332
8/19/2026 19:52,BMY,S&P 500,67.61,70,0.3032,0.43,2.69,0.2167,-0.7833,0.1034,-0.0615,-0.0519,0.0275,0.0027,-0.0107,0.8,3.51,0.3187,-0.6813,0.0811,-0.059,-0.0494,0.0473,0.0079,-0.0189,1,2.6,0.3336,-0.6664,0.0784,-0.0431,-0.0336,0.059,0.0124,-0.0277
8/19/2026 19:52,BNY,S&P 500,159.76,160,0.3574,1.25,0.9,0.5055,-0.4945,0.0504,-0.236,-0.2141,0.0883,0.0149,-0.0158,1.25,0.9,0.5163,-0.4837,0.0356,-0.1699,-0.148,0.1247,0.0299,-0.0313,4.06,3.5,0.521,-0.479,0.0437,-0.0973,-0.0754,0.1527,0.0457,-0.0461
8/19/2026 19:52,BRK-B,S&P 500,499.62,500,0.1693,4.58,3.67,0.5081,-0.4919,0.034,-0.3679,-0.2995,0.276,0.0478,-0.048,6.47,5.1,0.5212,-0.4788,0.0262,-0.2512,-0.1828,0.3898,0.0974,-0.094,8.65,6,0.5304,-0.4696,0.0218,-0.2081,-0.1398,0.4767,0.148,-0.1389
8/19/2026 19:52,C,S&P 500,132.89,135,0.2832,1.5,3.51,0.3603,-0.6397,0.0718,-0.1457,-0.1272,0.0689,0.0089,-0.0169,2.11,3.27,0.4156,-0.5844,0.0513,-0.1132,-0.0947,0.1015,0.0203,-0.0313,6.57,4,0.4474,-0.5526,0.0393,-0.1024,-0.084,0.1261,0.0323,-0.0451
8/19/2026 19:52,CAT,Dow 30 / S&P 500,816.15,820,0.3678,17.3,23.35,0.4808,-0.5192,0.0096,-1.2348,-1.1226,0.4504,0.0724,-0.0848,23.45,30.77,0.5017,-0.4983,0.0062,-0.9707,-0.8586,0.6377,0.1476,-0.1663,31.7,35.15,0.5113,-0.4887,0.0051,-0.7904,-0.6784,0.7807,0.2227,-0.2477
8/19/2026 19:52,CCEP,Nasdaq 100,106.68,105,0.3369,2.59,0.49,0.6495,-0.3505,0.0744,-0.1408,-0.1265,0.0547,0.0127,-0.0074,2.59,0.49,0.6189,-0.3811,0.0541,-0.1043,-0.09,0.0796,0.0239,-0.0163,5.11,1.5,0.6303,-0.3697,0.0569,-0.0683,-0.054,0.0966,0.0365,-0.0237
8/19/2026 19:52,CDNS,Nasdaq 100,314.98,310,0.4606,23.97,4.78,0.6167,-0.3833,0.019,-0.573,-0.5306,0.1665,0.0352,-0.0242,40.06,6.26,0.6011,-0.3989,0.0147,-0.3852,-0.3428,0.2381,0.0675,-0.0512,16.5,8,0.5936,-0.4064,0.0122,-0.3172,-0.2748,0.2931,0.0985,-0.0793
8/19/2026 19:52,CEG,Nasdaq 100,274.17,270,0.4932,8.4,7,0.6074,-0.3926,0.0205,-0.5356,-0.4986,0.1459,0.0301,-0.0217,8.71,8.35,0.5904,-0.4096,0.0149,-0.3831,-0.3462,0.2087,0.0572,-0.0462,13.27,9.91,0.5861,-0.4139,0.0126,-0.3075,-0.2706,0.2562,0.0839,-0.071
8/19/2026 19:52,CHTR,Nasdaq 100,152.47,150,0.7109,8.1,4.7,0.589,-0.411,0.0259,-0.4284,-0.4079,0.0821,0.0158,-0.0129,10.2,9.4,0.5894,-0.4106,0.0242,-0.2342,-0.2137,0.1161,0.0315,-0.026,10.83,5.75,0.5831,-0.4169,0.019,-0.2018,-0.1813,0.1427,0.0456,-0.0404
8/19/2026 19:52,CL,S&P 500,90.87,90,0.2964,4.9,0.73,0.6096,-0.3904,0.1029,-0.1096,-0.0972,0.0483,0.0102,-0.007,1.85,1.05,0.5972,-0.4028,0.0811,-0.073,-0.0607,0.0689,0.0199,-0.0146,3.52,1.77,0.5835,-0.4165,0.0602,-0.067,-0.0547,0.085,0.0287,-0.0229
8/19/2026 19:52,CMCSA,Nasdaq 100 / S&P 500,26.59,27,0.3467,0.37,0.65,0.3918,-0.6082,0.3009,-0.0364,-0.0327,0.0141,0.0019,-0.0032,0.47,1.57,0.4406,-0.5594,0.2058,-0.0285,-0.0248,0.0205,0.0043,-0.0061,0.55,1.19,0.4587,-0.5413,0.1755,-0.0229,-0.0192,0.0253,0.0066,-0.0089
8/19/2026 19:52,COF,S&P 500,220.73,220,0.2697,5.85,2.07,0.5529,-0.4471,0.048,-0.249,-0.2189,0.1209,0.0227,-0.0195,6.35,3.95,0.5488,-0.4512,0.0326,-0.1875,-0.1574,0.1712,0.0444,-0.0398,8.29,3.55,0.5486,-0.4514,0.0251,-0.1646,-0.1346,0.2096,0.0657,-0.0606
8/19/2026 19:52,COP,S&P 500,130.58,130,0.3045,2.65,1.37,0.5594,-0.4406,0.0717,-0.1648,-0.147,0.0713,0.0135,-0.0114,3.5,1.05,0.5532,-0.4468,0.0488,-0.1237,-0.106,0.1011,0.0263,-0.0235,4.25,1.92,0.5536,-0.4464,0.04,-0.1023,-0.0845,0.1238,0.039,-0.0355
8/19/2026 19:52,COST,Nasdaq 100 / S&P 500,956.99,960,0.2371,13.4,13.91,0.4801,-0.5199,0.0127,-0.9556,-0.8243,0.5281,0.0859,-0.098,26.77,16.78,0.4991,-0.5009,0.0088,-0.706,-0.5747,0.7477,0.1765,-0.191,25.2,15.64,0.5094,-0.4906,0.0074,-0.5768,-0.4457,0.9155,0.2681,-0.2826
8/19/2026 19:52,CPRT,Nasdaq 100,33.85,34,0.4356,0.1,1.39,0.4891,-0.5109,0.1953,-0.0603,-0.0557,0.0187,0.003,-0.0035,0.1,1.39,0.5053,-0.4947,0.1382,-0.0433,-0.0387,0.0264,0.0061,-0.0069,1.2,2.2,0.5145,-0.4855,0.1145,-0.0352,-0.0306,0.0324,0.0092,-0.0103
8/19/2026 19:52,CRM,Dow 30 / S&P 500,206.09,210,0.6718,7.38,10.5,0.4423,-0.5577,0.0206,-0.5523,-0.5235,0.1127,0.0163,-0.0239,8.63,11.6,0.4641,-0.5359,0.0168,-0.3469,-0.3181,0.1604,0.0337,-0.0467,9.52,12.85,0.4756,-0.5244,0.0152,-0.2612,-0.2325,0.1968,0.0512,-0.0692
8/19/2026 19:52,CRWD,Nasdaq 100,201.63,200,0.7349,10.6,8.6,0.5557,-0.4443,0.0193,-0.5931,-0.5657,0.1103,0.0197,-0.0186,13,11.07,0.5564,-0.4436,0.0145,-0.398,-0.3707,0.156,0.0385,-0.0381,12.55,12.15,0.559,-0.441,0.0129,-0.3002,-0.2729,0.1908,0.0572,-0.0575
8/19/2026 19:52,CSCO,Dow 30 / Nasdaq 100 / S&P 500,110.55,110,0.3247,2.69,1.62,0.5615,-0.4385,0.0793,-0.1482,-0.1331,0.0603,0.0115,-0.0096,4,2.15,0.5546,-0.4454,0.0539,-0.1115,-0.0965,0.0856,0.0222,-0.0199,4.39,2.3,0.5547,-0.4453,0.044,-0.0923,-0.0773,0.1048,0.033,-0.0301
8/19/2026 19:52,CSX,Nasdaq 100,50.68,50,0.6299,1.15,0.51,0.583,-0.417,0.0883,-0.127,-0.1202,0.0274,0.0053,-0.0043,1.8,0.65,0.5914,-0.4086,0.0947,-0.0607,-0.0539,0.0386,0.0107,-0.0084,2,1.24,0.5789,-0.4211,0.0664,-0.0585,-0.0517,0.0475,0.0153,-0.0134
8/19/2026 19:52,CTAS,Nasdaq 100,203.08,200,0.2905,4.1,1.64,0.6641,-0.3359,0.0446,-0.2306,-0.2032,0.1026,0.0249,-0.0134,7.8,5.33,0.5965,-0.4035,0.0223,-0.2551,-0.2278,0.154,0.0431,-0.0335,10.37,5.3,0.6185,-0.3815,0.0277,-0.1412,-0.1139,0.1857,0.068,-0.0468
8/19/2026 19:52,CTSH,Nasdaq 100,60.93,60,0.6338,1.25,0.4,0.591,-0.409,0.0727,-0.153,-0.1448,0.0328,0.0064,-0.0051,1.25,0.4,0.5798,-0.4202,0.0517,-0.1099,-0.1017,0.0466,0.0122,-0.0108,3.15,2.2,0.584,-0.416,0.0533,-0.0723,-0.0641,0.057,0.0185,-0.0159
8/19/2026 19:52,CVS,S&P 500,93.65,95,0.2798,1.1,2.08,0.3725,-0.6275,0.1043,-0.1027,-0.0897,0.0491,0.0065,-0.0117,1.5,2.5,0.4275,-0.5725,0.0716,-0.082,-0.069,0.072,0.0147,-0.0217,2.24,2.51,0.4537,-0.5463,0.0568,-0.0713,-0.0583,0.089,0.0231,-0.0314
8/19/2026 19:52,CVX,Dow 30 / S&P 500,205.76,210,0.2516,1.61,5.32,0.2944,-0.7056,0.0481,-0.1846,-0.1559,0.0982,0.0114,-0.0289,2.65,12,0.3693,-0.6307,0.0357,-0.1527,-0.1239,0.1521,0.0281,-0.0522,3.5,12.75,0.4066,-0.5934,0.0289,-0.1347,-0.1061,0.1915,0.046,-0.0745
8/19/2026 19:52,DASH,Nasdaq 100,220.22,220,0.5326,6.5,4.6,0.5253,-0.4747,0.0245,-0.4769,-0.4467,0.1214,0.0209,-0.0212,6.38,6.65,0.531,-0.469,0.0194,-0.3056,-0.2755,0.1715,0.0416,-0.0426,9.65,7.2,0.5362,-0.4638,0.0158,-0.2521,-0.222,0.2099,0.062,-0.0643
8/19/2026 19:52,DDOG,Nasdaq 100,233.52,230,0.5208,10.3,5.62,0.6026,-0.3974,0.0229,-0.482,-0.4506,0.1247,0.0253,-0.0188,13.5,4.95,0.5848,-0.4152,0.0157,-0.3627,-0.3313,0.1783,0.0478,-0.0402,26.2,9.75,0.5814,-0.4186,0.0131,-0.2934,-0.262,0.2188,0.0701,-0.0619
8/19/2026 19:52,DE,S&P 500,580.63,580,0.5138,18.57,17,0.5256,-0.4744,0.0096,-1.2143,-1.1349,0.3201,0.0553,-0.0559,18.25,17.75,0.5316,-0.4684,0.0071,-0.8312,-0.7519,0.4522,0.1095,-0.1125,20.2,19.35,0.5358,-0.4642,0.0067,-0.5964,-0.5172,0.5534,0.1648,-0.1679
8/19/2026 19:52,DHR,S&P 500,211.5,210,0.4182,4.7,3,0.5669,-0.4331,0.0321,-0.3598,-0.331,0.1152,0.0219,-0.0183,5.97,2.51,0.5587,-0.4413,0.0215,-0.2734,-0.2447,0.1635,0.0421,-0.0382,4.4,9.72,0.5653,-0.4347,0.0231,-0.1748,-0.1461,0.1997,0.0643,-0.0562
8/19/2026 19:52,DIS,Dow 30 / S&P 500,106.93,105,0.2561,2.61,0.8,0.7117,-0.2883,0.09,-0.1025,-0.0882,0.0506,0.0141,-0.006,3.08,1.23,0.6608,-0.3392,0.0661,-0.0816,-0.0673,0.0767,0.0258,-0.0144,3.08,1.54,0.6479,-0.3521,0.0575,-0.066,-0.0517,0.0952,0.0377,-0.0226
8/19/2026 19:52,DOW,Dow 30,31.75,32,0.4033,0.68,0.88,0.462,-0.538,0.2239,-0.0522,-0.0479,0.0175,0.0027,-0.0034,0.83,1.31,0.4825,-0.5175,0.1707,-0.0352,-0.0308,0.0248,0.0056,-0.0067,1.02,1.53,0.4938,-0.5062,0.1471,-0.0278,-0.0234,0.0304,0.0084,-0.0099
8/19/2026 19:52,DUK,S&P 500,123.6,125,0.2349,0.35,1.32,0.3819,-0.6181,0.0949,-0.1158,-0.0987,0.0653,0.0089,-0.0151,0.35,1.32,0.4285,-0.5715,0.069,-0.0867,-0.0696,0.095,0.0196,-0.0282,2,2.7,0.4359,-0.5641,0.07,-0.0599,-0.0428,0.1167,0.03,-0.0417
8/19/2026 19:52,DXCM,Nasdaq 100,89.88,90,0.3721,1.8,1.9,0.5074,-0.4926,0.0861,-0.1379,-0.1256,0.0496,0.0084,-0.0088,2.99,2.83,0.5232,-0.4768,0.0421,-0.1405,-0.1282,0.0701,0.0166,-0.0179,2.75,2.7,0.5289,-0.4711,0.0372,-0.1072,-0.0949,0.0858,0.0249,-0.0268
8/19/2026 19:52,EA,Nasdaq 100,209.7,210,0.1,1.11,1.21,0.4892,-0.5108,0.1373,-0.0966,-0.0679,0.1158,0.0195,-0.0208,1.69,1.59,0.5138,-0.4862,0.0971,-0.073,-0.0443,0.1637,0.0407,-0.0397,2.16,1.86,0.5288,-0.4712,0.0791,-0.0625,-0.0339,0.2001,0.0626,-0.0579
8/19/2026 19:52,EMR,S&P 500,157.6,160,0.3407,3.9,3.5,0.3911,-0.6089,0.0516,-0.2121,-0.1902,0.0838,0.0114,-0.0192,3.55,2.45,0.4412,-0.5588,0.0349,-0.1684,-0.1466,0.1218,0.0253,-0.036,3.48,3.02,0.4472,-0.5528,0.0346,-0.1167,-0.0948,0.1495,0.0384,-0.0534
8/19/2026 19:52,EXC,Nasdaq 100,45.3,45,0.3906,0.76,0.2,0.5666,-0.4334,0.1605,-0.0722,-0.0661,0.0247,0.0047,-0.0039,0.76,0.2,0.5597,-0.4403,0.1138,-0.0521,-0.0459,0.035,0.0091,-0.0081,1.13,0.9,0.5885,-0.4115,0.1802,-0.0235,-0.0174,0.0423,0.0147,-0.0111
8/19/2026 19:52,FANG,Nasdaq 100,208.55,210,0.3179,1.5,3.4,0.4548,-0.5452,0.0432,-0.2725,-0.2438,0.1145,0.0176,-0.0226,1.5,3.4,0.4803,-0.5197,0.0307,-0.1978,-0.1691,0.1627,0.0366,-0.0438,7.5,8.17,0.4979,-0.5021,0.0225,-0.1814,-0.1527,0.1996,0.0559,-0.0646
8/19/2026 19:52,FAST,Nasdaq 100,51.44,50,0.4922,1.54,0.1,0.6789,-0.3211,0.1021,-0.0942,-0.0873,0.0255,0.0063,-0.0033,1.54,0.1,0.6416,-0.3584,0.0753,-0.0703,-0.0635,0.0376,0.0116,-0.0076,2.35,0.75,0.6883,-0.3117,0.1004,-0.0342,-0.0274,0.0436,0.019,-0.0096
8/19/2026 19:52,FDX,S&P 500,328.38,330,0.3512,5.37,5.88,0.4772,-0.5228,0.0249,-0.475,-0.4299,0.1811,0.029,-0.0343,10.53,7.32,0.4922,-0.5078,0.0201,-0.3035,-0.2584,0.2565,0.0591,-0.0672,7.5,8.98,0.5006,-0.4994,0.0186,-0.2255,-0.1804,0.3142,0.0898,-0.0995
8/19/2026 19:52,FER,Nasdaq 100,64.64,65,0.5,0.45,0.65,0.4873,-0.5127,0.0891,-0.1316,-0.1227,0.0357,0.0057,-0.0067,0.45,0.65,0.5047,-0.4953,0.063,-0.0943,-0.0854,0.0505,0.0116,-0.0133,2.05,1.92,0.5071,-0.4929,0.0662,-0.0614,-0.0525,0.0618,0.0175,-0.0198
8/19/2026 19:52,FTNT,Nasdaq 100,152.85,155,0.4972,5.47,5.17,0.4386,-0.5614,0.0375,-0.3051,-0.2839,0.0834,0.0122,-0.0175,5.4,6.43,0.4661,-0.5339,0.0283,-0.2085,-0.1873,0.119,0.0255,-0.0338,6.15,7.65,0.4863,-0.5137,0.022,-0.1813,-0.1602,0.1462,0.0391,-0.0499
8/19/2026 19:52,GD,S&P 500,392.34,390,0.2424,8.27,2.93,0.5885,-0.4115,0.0295,-0.3967,-0.3433,0.2114,0.043,-0.0317,13.7,5.68,0.5733,-0.4267,0.0203,-0.3006,-0.2473,0.3014,0.0827,-0.0666,11.7,7.05,0.5742,-0.4258,0.018,-0.2332,-0.1799,0.3689,0.1236,-0.1002
8/19/2026 19:52,GE,S&P 500,356.23,360,0.3251,5.47,7.65,0.4247,-0.5753,0.0244,-0.469,-0.4197,0.1933,0.0281,-0.0409,7.8,9.47,0.4578,-0.5422,0.0178,-0.3378,-0.2886,0.2768,0.0597,-0.0781,9.22,11.55,0.4742,-0.5258,0.0149,-0.2747,-0.2255,0.3402,0.0918,-0.1147
8/19/2026 19:52,GEHC,Nasdaq 100,74.62,75,0.5134,1.55,1.5,0.4911,-0.5089,0.0752,-0.1559,-0.1456,0.0412,0.0066,-0.0077,0.95,3,0.4977,-0.5023,0.0722,-0.0835,-0.0733,0.0583,0.0134,-0.0153,1.2,0.9,0.5187,-0.4813,0.0417,-0.0955,-0.0853,0.0713,0.0201,-0.0229
8/19/2026 19:52,GEV,S&P 500,987.46,990,0.5033,25.8,32.14,0.5047,-0.4953,0.0058,-2.0258,-1.8904,0.5455,0.0905,-0.0992,42,41,0.5169,-0.4831,0.0041,-1.4416,-1.3062,0.7708,0.1811,-0.1979,121.24,47.42,0.5245,-0.4755,0.0034,-1.1655,-1.0303,0.9431,0.2713,-0.2967
